Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
AMP;REG;B;P;Quarterly_Hour_Power;15Q1;0,6;500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
TTG;REG;B;P;Quarterly_Hour_Power;15Q1;4,0;500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
TNG;REG;S;P;Quarterly_Hour_Power;15Q1;0,4;-500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;15Q1;0,7;-500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;15Q2;1,4;500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
TTG;REG;B;P;Quarterly_Hour_Power;15Q2;2,4;500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
TNG;REG;S;P;Quarterly_Hour_Power;15Q2;0,7;-500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;15Q2;1,9;-500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;14Q4;1,5;500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
TTG;REG;B;P;Quarterly_Hour_Power;14Q4;8,1;500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
TNG;REG;S;P;Quarterly_Hour_Power;14Q4;1,3;-500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;14Q4;1,6;-500;11XMVVTRADING--1;VSK;;GFS;14.01.2021 14:40;NON
