Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
AMP;REG;B;P;Quarterly_Hour_Power;19Q3;4,9;500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:25;NON
TTG;REG;S;P;Quarterly_Hour_Power;19Q3;2,0;-500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:25;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q3;1,6;500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:25;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q3;2,9;-500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:25;NON
AMP;REG;B;P;Quarterly_Hour_Power;19Q4;5,8;500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:40;NON
TTG;REG;S;P;Quarterly_Hour_Power;19Q4;2,7;-500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:40;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q4;3,9;500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q4;4,9;-500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;20Q1;6,9;500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:55;NON
TTG;REG;S;P;Quarterly_Hour_Power;20Q1;9,6;-500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:55;NON
TNG;REG;B;P;Quarterly_Hour_Power;20Q1;7,6;500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:55;NON
50HzT;REG;S;P;Quarterly_Hour_Power;20Q1;9,5;-500;11XMVVTRADING--1;VSK;;GFS;13.01.2021 19:55;NON
