Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
TTG;REG;B;P;Quarterly_Hour_Power;19Q3;0,2;;11XMVV---------5;VP[21574953]_SUNCAST;;GTD;13.01.2021 19:25;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q3;0,2;;11XMVV---------5;VP[21574954]_SUNCAST;;GTD;13.01.2021 19:25;NON
AMP;REG;B;P;Quarterly_Hour_Power;19Q3;2,5;;11XMVV---------5;VP[21574955]_PREVIENTO;;GTD;13.01.2021 19:25;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q3;0,2;;11XMVV---------5;VP[21574956]_SUNCAST;;GTD;13.01.2021 19:25;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q3;2,7;;11XMVV---------5;VP[21574957]_PREVIENTO;;GTD;13.01.2021 19:25;NON
AMP;REG;B;P;Quarterly_Hour_Power;19Q3;2,4;;11XMVV---------5;VP[21574958]_SUNCAST;;GTD;13.01.2021 19:25;NON
TTG;REG;S;P;Quarterly_Hour_Power;19Q3;2,2;;11XMVV---------5;VP[21574959]_PREVIENTO;;GTD;13.01.2021 19:25;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q3;1,4;;11XMVV---------5;VP[21574960]_PREVIENTO;;GTD;13.01.2021 19:25;NON
TTG;REG;B;P;Quarterly_Hour_Power;19Q4;1;;11XMVV---------5;VP[21574953]_SUNCAST;;GTD;13.01.2021 19:40;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q4;2;;11XMVV---------5;VP[21574954]_SUNCAST;;GTD;13.01.2021 19:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;19Q4;3;;11XMVV---------5;VP[21574955]_PREVIENTO;;GTD;13.01.2021 19:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q4;1,5;;11XMVV---------5;VP[21574956]_SUNCAST;;GTD;13.01.2021 19:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;19Q4;3,4;;11XMVV---------5;VP[21574957]_PREVIENTO;;GTD;13.01.2021 19:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;19Q4;2,8;;11XMVV---------5;VP[21574958]_SUNCAST;;GTD;13.01.2021 19:40;NON
TTG;REG;S;P;Quarterly_Hour_Power;19Q4;3,7;;11XMVV---------5;VP[21574959]_PREVIENTO;;GTD;13.01.2021 19:40;NON
TNG;REG;B;P;Quarterly_Hour_Power;19Q4;1,9;;11XMVV---------5;VP[21574960]_PREVIENTO;;GTD;13.01.2021 19:40;NON
TTG;REG;B;P;Quarterly_Hour_Power;20Q1;5,4;;11XMVV---------5;VP[21574953]_SUNCAST;;GTD;13.01.2021 19:55;NON
TNG;REG;B;P;Quarterly_Hour_Power;20Q1;3,6;;11XMVV---------5;VP[21574954]_SUNCAST;;GTD;13.01.2021 19:55;NON
AMP;REG;B;P;Quarterly_Hour_Power;20Q1;3,8;;11XMVV---------5;VP[21574955]_PREVIENTO;;GTD;13.01.2021 19:55;NON
50HzT;REG;S;P;Quarterly_Hour_Power;20Q1;7;;11XMVV---------5;VP[21574956]_SUNCAST;;GTD;13.01.2021 19:55;NON
50HzT;REG;S;P;Quarterly_Hour_Power;20Q1;2,5;;11XMVV---------5;VP[21574957]_PREVIENTO;;GTD;13.01.2021 19:55;NON
AMP;REG;B;P;Quarterly_Hour_Power;20Q1;3,1;;11XMVV---------5;VP[21574958]_SUNCAST;;GTD;13.01.2021 19:55;NON
TTG;REG;S;P;Quarterly_Hour_Power;20Q1;15;;11XMVV---------5;VP[21574959]_PREVIENTO;;GTD;13.01.2021 19:55;NON
TNG;REG;B;P;Quarterly_Hour_Power;20Q1;4;;11XMVV---------5;VP[21574960]_PREVIENTO;;GTD;13.01.2021 19:55;NON
