Area;Type;B/S;Accnt;Product;Ctrct;Qty;Prc;BG;Txt;PQty;ValRes;ValDate;ExeRes
AMP;REG;S;P;Quarterly_Hour_Power_Amprion;15Q1_Amp;0,1;;11XMVV---------5;VP[21605564]_SUNCAST;;GTD;14.01.2021 14:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;15Q2;0,1;;11XMVV---------5;VP[21605565]_SUNCAST;;GTD;14.01.2021 14:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power_50Hz;14Q4_50Hz;4;;11XMVV---------5;VP[21605566]_PREVIENTO;;GTD;14.01.2021 14:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power_50Hz;15Q1_50Hz;1,1;;11XMVV---------5;VP[21605567]_PREVIENTO;;GTD;14.01.2021 14:40;NON
50HzT;REG;S;P;Quarterly_Hour_Power;15Q2;2;;11XMVV---------5;VP[21605568]_PREVIENTO;;GTD;14.01.2021 14:40;NON
TTG;REG;B;P;Quarterly_Hour_Power_Tennet;14Q4_TNTG;8,4;;11XMVV---------5;VP[21605569]_PREVIENTO;;GTD;14.01.2021 14:40;NON
TTG;REG;B;P;Quarterly_Hour_Power_Tennet;15Q1_TNTG;4,3;;11XMVV---------5;VP[21605570]_PREVIENTO;;GTD;14.01.2021 14:40;NON
TTG;REG;B;P;Quarterly_Hour_Power;15Q2;2,8;;11XMVV---------5;VP[21605571]_PREVIENTO;;GTD;14.01.2021 14:40;NON
50HzT;REG;B;P;Quarterly_Hour_Power_50Hz;14Q4_50Hz;2,4;;11XMVV---------5;VP[21605572]_SUNCAST;;GTD;14.01.2021 14:40;NON
50HzT;REG;B;P;Quarterly_Hour_Power_50Hz;15Q1_50Hz;0,4;;11XMVV---------5;VP[21605573]_SUNCAST;;GTD;14.01.2021 14:40;NON
50HzT;REG;B;P;Quarterly_Hour_Power;15Q2;0,1;;11XMVV---------5;VP[21605574]_SUNCAST;;GTD;14.01.2021 14:40;NON
TNG;REG;B;P;Quarterly_Hour_Power;15Q2;0;;11XMVV---------5;VP[21605577]_SUNCAST;;GTD;14.01.2021 14:40;NON
TNG;REG;S;P;Quarterly_Hour_Power_TransnetBW;14Q4_EnBW;1,3;;11XMVV---------5;VP[21605578]_PREVIENTO;;GTD;14.01.2021 14:40;NON
TNG;REG;S;P;Quarterly_Hour_Power_TransnetBW;15Q1_EnBW;0,4;;11XMVV---------5;VP[21605579]_PREVIENTO;;GTD;14.01.2021 14:40;NON
TNG;REG;S;P;Quarterly_Hour_Power;15Q2;0,7;;11XMVV---------5;VP[21605580]_PREVIENTO;;GTD;14.01.2021 14:40;NON
AMP;REG;B;P;Quarterly_Hour_Power_Amprion;14Q4_Amp;1,5;;11XMVV---------5;VP[21605581]_PREVIENTO;;GTD;14.01.2021 14:40;NON
AMP;REG;B;P;Quarterly_Hour_Power_Amprion;15Q1_Amp;0,7;;11XMVV---------5;VP[21605582]_PREVIENTO;;GTD;14.01.2021 14:40;NON
AMP;REG;B;P;Quarterly_Hour_Power;15Q2;1,3;;11XMVV---------5;VP[21605583]_PREVIENTO;;GTD;14.01.2021 14:40;NON
TTG;REG;S;P;Quarterly_Hour_Power_Tennet;14Q4_TNTG;0,3;;11XMVV---------5;VP[21605584]_SUNCAST;;GTD;14.01.2021 14:40;NON
TTG;REG;S;P;Quarterly_Hour_Power_Tennet;15Q1_TNTG;0,3;;11XMVV---------5;VP[21605585]_SUNCAST;;GTD;14.01.2021 14:40;NON
TTG;REG;S;P;Quarterly_Hour_Power;15Q2;0,4;;11XMVV---------5;VP[21605586]_SUNCAST;;GTD;14.01.2021 14:40;NON
